Part_id	Sc_id	answer	Mean gaze_angle_x	Standard Deviation gaze_angle_x	Minimum gaze_angle_x	Maximum gaze_angle_x	Sum gaze_angle_x	Mean gaze_angle_y	Standard Deviation gaze_angle_y	Minimum gaze_angle_y	Maximum gaze_angle_y	Sum gaze_angle_y
10	seg16	0.0	-0.0096231617647058	0.0829076132280969	-0.218	0.32	-5.234999999999999	0.3509816176470592	0.144121271291089	-0.046	0.67	190.93400000000003
10	seg17	1.0	0.0170650602409638	0.1075737375950891	-0.187	0.434	7.082000000000001	0.3672096385542168	0.2360573993983513	-0.509	0.762	152.392
11	seg1	0.0	-0.0462998171846434	0.0539327706286389	-0.219	0.088	-25.326	0.4186892138939667	0.106458299775806	0.136	0.723	229.023
11	seg2	0.0	-0.036775641025641	0.0580875581053323	-0.203	0.139	-22.948	0.5125528846153848	0.0810530082843037	0.304	0.779	319.833
11	seg3	1.0	-0.0531602564102563	0.0613484683940293	-0.243	0.151	-33.172000000000004	0.4528701923076921	0.1142267094981884	0.148	0.726	282.591
11	seg4	0.0	-0.0561759999999999	0.0525399450323275	-0.174	0.053	-35.11	0.3020592000000001	0.0353837207676072	0.234	0.475	188.787
11	seg5	1.0	0.0169038461538461	0.0907157810633026	-0.182	0.196	10.547999999999998	0.5569727564102563	0.1152348392112525	0.219	0.773	347.551
11	seg6	0.0	0.0192325203252032	0.0685125322295836	-0.342	0.211	11.828	0.5150406504065045	0.1190946742594955	-0.137	0.776	316.75
11	seg7	0.0	0.0339737274220032	0.0828277891743184	-0.342	0.241	20.69	0.4404482758620691	0.116815129235085	-0.137	0.776	268.23299999999995
11	seg9	0.0	0.072704280155642	0.0740013809233815	-0.342	0.241	37.37	0.4127937743190662	0.1101079602864358	-0.137	0.78	212.176
11	seg10	0.0	0.0246768982229402	0.0663822019527665	-0.191	0.238	15.275	0.4627075928917609	0.1461454565348266	0.112	0.719	286.416
11	seg11	0.0	0.0069259259259259	0.0578458804219593	-0.152	0.2	4.301000000000002	0.4443494363929148	0.1460156454475455	0.131	0.719	275.94100000000003
11	seg12	0.0	0.0069259259259259	0.0578458804219593	-0.152	0.2	4.301000000000002	0.4443494363929148	0.1460156454475455	0.131	0.719	275.94100000000003
11	seg13	1.0	-0.0018230769230769	0.1497184776317829	-1.127	0.336	-0.4739999999999998	0.3814884615384616	0.1853909068115326	-1.01	0.631	99.187
11	seg15	0.0	-0.0084999999999999	0.081545741421151	-0.223	0.285	-1.819	0.4136261682242994	0.1267027593297245	-0.037	0.704	88.51599999999999
11	seg16	0.0	-0.005582651391162	0.0637731835975091	-0.152	0.2	-3.4110000000000005	0.3955515548281503	0.1160445983882695	-0.146	0.768	241.682
11	seg17	1.0	-0.0512330097087378	0.0740207095857365	-0.308	0.109	-31.662	0.4632200647249189	0.1347538572989796	-0.035	0.878	286.27
12	seg1	1.0	-0.0437776	0.046844698080359	-0.148	0.085	-27.361	0.3948927999999998	0.0936928412855539	0.136	0.723	246.808
12	seg2	0.0	-0.0480694698354661	0.0513617731100987	-0.219	0.088	-26.294	0.4738409506398537	0.1098917629587837	0.152	0.779	259.191
12	seg3	0.0	-0.0429951845906902	0.0693773382675808	-0.243	0.151	-26.786	0.4618121990369182	0.1040886847712633	0.148	0.726	287.709
12	seg4	0.0	-0.0623696	0.0540123485495677	-0.175	0.053	-38.981	0.3618367999999996	0.0934906143190856	0.232	0.603	226.148
12	seg5	0.0	-0.0596128	0.0493387360616382	-0.197	0.095	-37.258	0.3859584000000003	0.0939839724072141	0.219	0.717	241.224
12	seg6	0.0	0.0252351046698872	0.0874910409466193	-0.182	0.211	15.671	0.5626103059581321	0.1105888622227956	0.219	0.773	349.381
12	seg7	0.0	0.0440772946859902	0.0735051817146046	-0.13	0.211	27.372	0.5611980676328497	0.1045542076977902	0.199	0.776	348.504
12	seg9	1.0	0.0261371900826446	0.0813306851836067	-0.342	0.241	15.813000000000002	0.4575702479338854	0.1191702599239918	-0.137	0.776	276.83
12	seg10	0.0	0.072704280155642	0.0740013809233815	-0.342	0.241	37.37	0.4127937743190662	0.1101079602864358	-0.137	0.78	212.176
12	seg11	0.0	0.0878876712328766	0.0601079940098812	-0.172	0.343	32.07899999999999	0.4628684931506852	0.1263334106685719	-0.036	0.78	168.947
